N,TimeConsumed(μs),MemoryUsed(KB)
1536,974,2512
1537,988,2512
1538,983,2512
1539,1043,2512
1540,975,2512
1541,979,2512
1542,980,2512
1543,984,2512
1544,1010,2512
1545,985,2512
1546,993,2512
1547,1002,2512
1548,998,2512
1549,996,2512
1550,991,2512
1551,1048,2512
1552,997,2512
1553,981,2512
1554,982,2512
1555,996,2512
1556,989,2512
1557,985,2512
1558,985,2512
1559,993,2512
1560,982,2512
1561,994,2512
1562,1029,2512
1563,996,2512
1564,1006,2512
1565,1009,2512
1566,1006,2512
1567,987,2512
1568,989,2512
1569,1001,2512
1570,1008,2512
1571,1073,2512
1572,1020,2512
1573,1001,2512
1574,988,2512
1575,1014,2512
1576,994,2512
1577,1015,2512
1578,995,2512
1579,1021,2512
1580,1036,2512
1581,1013,2512
1582,1015,2512
1583,1014,2512
1584,1071,2512
1585,1013,2512
1586,1003,2512
1587,1031,2512
1588,1025,2512
1589,1009,2512
1590,1008,2512
1591,1012,2512
1592,1009,2512
1593,1007,2512
1594,1014,2512
1595,1018,2512
1596,1053,2512
1597,1033,2512
1598,1013,2512
1599,1011,2512
1600,1012,2512
1601,1012,2512
1602,1019,2512
1603,1010,2512
1604,1028,2512
1605,1024,2512
1606,1029,2512
1607,1053,2512
1608,1053,2512
1609,1019,2512
1610,1023,2512
1611,1017,2512
1612,1022,2512
1613,1037,2512
1614,1033,2512
1615,1022,2512
1616,1042,2512
1617,1031,2512
1618,1049,2512
1619,1062,2512
1620,1039,2512
1621,1067,2512
1622,1061,2512
1623,1074,2512
1624,1121,2512
1625,1083,2512
1626,1026,2512
1627,1037,2512
1628,1034,2512
1629,1059,2512
1630,1035,2512
1631,1038,2512
1632,1039,2512
1633,1040,2512
1634,1037,2512
1635,1061,2512
1636,1070,2512
1637,1153,2512
1638,1062,2512
1639,1083,2512
1640,1076,2512
1641,1078,2512
1642,1081,2512
1643,1060,2512
1644,1065,2512
1645,1059,2512
1646,1060,2512
1647,1071,2512
1648,1120,2512
1649,1063,2512
1650,1052,2512
1651,1053,2512
1652,1050,2512
1653,1050,2512
1654,1067,2512
1655,1056,2512
1656,1053,2512
1657,1053,2512
1658,1054,2512
1659,1052,2512
1660,1057,2512
1661,1054,2512
1662,1057,2512
1663,1061,2512
1664,1057,2512
1665,1058,2512
1666,1056,2512
1667,1065,2512
1668,1091,2512
1669,1078,2512
1670,1116,2512
1671,1083,2512
1672,1080,2512
1673,1087,2512
1674,1089,2512
1675,1100,2512
1676,1094,2512
1677,1077,2512
1678,1110,2512
1679,1091,2512
1680,1100,2512
1681,1088,2512
1682,1104,2528
1683,1141,2528
1684,1087,2528
1685,1076,2528
1686,1078,2528
1687,1080,2528
1688,1078,2528
1689,1077,2528
1690,1091,2528
1691,1084,2528
1692,1079,2528
1693,1085,2528
1694,1085,2528
1695,1086,2528
1696,1090,2528
1697,1083,2528
1698,1084,2528
1699,1087,2528
1700,1100,2528
1701,1108,2528
1702,1182,2528
1703,1087,2528
1704,1094,2528
1705,1110,2528
1706,1116,2528
1707,1099,2528
1708,1148,2528
1709,1118,2528
1710,1121,2528
1711,1134,2528
1712,1119,2528
1713,1157,2528
1714,1120,2528
1715,1096,2528
1716,1097,2528
1717,1125,2528
1718,1116,2528
1719,1162,2528
1720,1168,2528
1721,1164,2528
1722,1188,2528
